row_id,rod_id,rod_tier,rod_element,bait_used,current_wonder,expected_creature_pool,expected_catch,expected_miss_reason,notes
128,epic_wind,epic,wind,bait_mid,45,,,,
129,epic_wind,epic,wind,bait_mid,65,,,,
130,epic_wind,epic,wind,bait_mid,90,,,,
131,epic_wind,epic,wind,bait_premium,0,,,,
132,epic_wind,epic,wind,bait_premium,25,,,,
133,epic_wind,epic,wind,bait_premium,45,,,,
134,epic_wind,epic,wind,bait_premium,65,,,,
135,epic_wind,epic,wind,bait_premium,90,,,,
136,epic_electric,epic,electric,bait_basic,0,,,,
137,epic_electric,epic,electric,bait_basic,25,,,,
138,epic_electric,epic,electric,bait_basic,45,,,,
139,epic_electric,epic,electric,bait_basic,65,,,,
140,epic_electric,epic,electric,bait_basic,90,,,,
141,epic_electric,epic,electric,bait_mid,0,,,,
142,epic_electric,epic,electric,bait_mid,25,,,,
143,epic_electric,epic,electric,bait_mid,45,,,,
144,epic_electric,epic,electric,bait_mid,65,,,,
145,epic_electric,epic,electric,bait_mid,90,,,,
146,epic_electric,epic,electric,bait_premium,0,,,,
147,epic_electric,epic,electric,bait_premium,25,,,,
148,epic_electric,epic,electric,bait_premium,45,,,,
149,epic_electric,epic,electric,bait_premium,65,,,,
150,epic_electric,epic,electric,bait_premium,90,,,,
